"memberID","nickname"
1001,"Joe"
1003,"Ace"
1007,"Flea"
1012,"Rick"
1013,"Darrel"
1015,"Len"
1016,"Bonzo"
1019,"Jim"
1025,"Paco"
1034,"Patches"
1039,"GB"
1040,"Batman"
1041,"Al"
1045,"Mike"
1046,"Kirby"
1047,"Don"
1048,"Jim"
1055,"Paco"
1056,"Terry"
1057,"Tom"
1058,"JD"
1060,"Popiel"
1061,"Rick"
1064,"Bill"
1067,"Bone Head"
1068,"Benny B"
1070,"Jerry"
1071,"Jimbo"
1072,"Tom"
1073,"Bo"
1074,"Chuck"
1076,"Banzai"
1081,"Bruno"
1082,"Bill"
1084,"Billy "
1086,"Charlie"
1088,"Ron"
1089,"Jake"
1091,"KB"
1093,"Truck"
1094,"Bill"
1095,"Ike"
1097,"Top"
1098,"Mike"
1100,"Bart"
1102,"Ace"
1103,"Bobby"
1108,"Mike"
1111,"Cal"
1121,"Lou"
1127,"Skip"
1128,"Caz"
1130,"Kel"
1134,"Rich"
1135,"Squeak"
1136,"Bob"
1140,"Rob"
1141,"JC"
1144,"Josh"
1145,"Rob"
1147,"Chuck"
1149,"Bill"
1155,"Bob"
1157,"Jim"
1159,"The Money Man"
1161,"Doug"
1163,"Bill"
1166,"Foxey"
1171,"Jim"
1172,"Geno"
1173,"Little D"
1178,"Matt"
1179,"Matt"
1180,"Doc"
1183,"Zak"
1184,"Ed"
1185,"JK"
1189,"Dick"
1190,"T-Top"
1191,"Ed"
1197,"Mikey"
1199,"Dave"
1203,"Mike"
1204,"Tony "
1207,"Chuck"
1208,"Bob"
1211,"Bill"
1213,"Rock"
1216,"Tom"
1217,"Blaze"
1218,"Danny"
1224,"Bill"
1226,"Ike"
1230,"Jeff"
1231,"Cico"
1232,"Mike"
1233,"Tom"
1235,"Norm"
1236,"Jon"
1240,"Gomez"
1243,"Andy"
1245,"Bill"
1246,"Babo"
1250,"Al"
1251,"Don"
1254,"Will"
1258,"Norm"
1260,"Rex"
1261,"Bill"
1262,"Mike"
1263,"Dick"
1270,"Scott"
1272,"Gabe"
1273,"Marsh"
1275,"Al"
1276,"RC"
1277,"Jim"
1278,"Chuck"
1280,"Crazy Indian"
1281,"Chuck"
1282,"Spanky"
1284,"Tim"
1286,"Andy/Goob"
1287,"Jeff"
1288,"Bob or Mr G"
1293,"Billy G"
1296,"Jose Click"
1297,"Bob"
1301,"Mike"
1305,"Rat Man"
1306,"Ricky"
1316,"Tommy"
1317,"Bones"
1323,"Boudreaux"
1325,"Greg"
1326,"Lou"
1329,"Chuck"
1333,"Ben"
1335,"Allen "
1337,"NJ"
1338,"Dick"
1339,"Buzz"
1340,"Ed"
1341,"\"Charlie\""
1342,"Rob"
1343,"J Dog"
1346,"BooBoo"
1348,"Cabeza"
1349,"Hawkeye"
1352,"Chas"
1357,"Mike"
1359,"Dan "
1360,"'Scotty'"
1361,"Wild Bill"
1366,"Dave"
1367,"Tom"
1371,"Tom"
1373,"Sonny"
1380,"Top"
1388,"Jim"
1390,"Mick"
1392,"Bill"
1393,"Liz"
1396,"Hogshead"
1401,"Bill"
1403,"Lumpy"
1404,"Scooter"
1406,"DJ"
1413,"Dave"
1414,"TJ"
1415,"Dan"
1418,"Joe"
1420,"Mike"
1423,"Mike"
1426,"KC"
1429,"Wazoo"
1431,"Trey"
1432,"Chuck"
1438,"Fudd"
1439,"Randy"
1440,"Thumb"
1441,"Fitz"
1442,"Skippy"
1443,"RC"
1446,"Charlie Manson"
1451,"Bob"
1453,"'Wild Bill'"
1454,"Mean Gene"
1457,"Kevin"
1458,"Walter"
1459,"Stew"
1460,"BK"
1465,"Tom"
1469,"Mush"
1471,"Mel"
1473,"Al"
1476,"Pete"
1477,"Willie"
1483,"Jim"
1484,"Mike"
1489,"Billy"
1491,"Bobby"
1493,"Boom Boom"
1500,"Mel"
1514,"Ely"
1515,"Marty"
1520,"Tammy"
1525,"Top / Mac / Bob"
1527,"Storming Norman"
1528,"Bobby Mac"
1534,"Mac"
1540,"Mike"
1542,"JAM"
1548,"Dan"
1550,"Ralph"
1552,"Larry Lunchmeat"
1553,"Phil; Chick; PC"
1559,"Virgil"
1562,"Head"
1563,"Uncle Moe"
1564,"Moe"
1567,"Chris"
1572,"Tricky Dick"
1573,"Walt"
1577,"Ben"
1578,"Tony"
1581,"Taz"
1584,"Phil"
1587,"Dave"
1589,"Fern"
1596,"Larry"
1600,"AJ"
1601,"Nick"
1607,"Popeye"
1610,"Ken"
1611,"Curt"
1614,"Tom"
1617,"Big O"
1618,"Ice"
1619,"Robbie"
1620,"The Shark"
1623,"Olive Oil"
1627,"Bobby"
1628,"Coy"
1629,"Ed"
1631,"Big Bird"
1632,"Fast Freddy"
1633,"Dick"
1634,"Jim"
1636,"Ken"
1637,"Joe"
1639,"Reese"
1641,"Jim"
1642,"Pete"
1645,"Phil"
1658,"Corky"
1666,"Raff"
1669,"Pablo"
1673,"Johnny"
1674,"Doug"
1675,"Buckwheat"
1679,"Tim"
1680,"Jim"
1681,"Scooter"
1682,"Rudy"
1683,"Jim"
1687,"Butch"
1693,"Chief"
1694,"Mijo"
1698,"Chuck"
1703,"Rod"
1706,"Dave"
1707,"Gotie"
1711,"Mac"
1717,"Zaber"
1721,"Scary Zant"
1727,"Joe"
1731,"Jefe"
1734,"Schmidy Dude"
1736,"Clay"
1744,"Mike"
1746,"Steve"
1752,"Dick"
1761,"Flash"
1762,"RAGS/Gene"
1763,"Andy"
1767,"Larry"
1770,"AL"
1774,"DE"
1775,"DL"
1778,"Smitty"
1780,"RJ"
1784,"Al"
1799,"Big Bird"
1802,"Mike"
1803,"Grady"
1804,"Jack"
1807,"Bob"
1808,"MJ"
1809,"Diamond Don"
1811,"Geno"
1812,"Sully"
1815,"Mike"
1820,"The Strangler"
1822,"Jimmy"
1824,"Team Daddy"
1827,"Big 'O'"
1828,"Butch"
1830,"Bob"
1831,"Crazy George"
1834,"Joe"
1836,"Hank"
1838,"Curt"
1839,"Bob"
1840,"Ron"
1846,"RIP"
1847,"Pork"
1849,"Billy"
1850,"Phil"
1853,"Ambie"
1856,"Rusty"
1857,"Fred"
1858,"Bob"
1862,"Tim"
1864,"Gordon"
1866,"Chuck"
1868,"Keith"
1869,"Don"
1870,"Kris"
1873,"Mike"
1875,"Mike"
1883,"Whiskey"
1885,"Tommy"
1887,"Bill"
1889,"Dave"
1892,"Leaping Leon"
1895,"Sandy"
1897,"Chuck  "
1901,"Jim"
1904,"Bill"
1909,"Speed-Bump"
1910,"Willie"
1911,"Sherm"
1915,"Bill"
1918,"Winky"
1919,"Bill"
1920,"Lash"
1922,"Tom"
1929,"Spider"
1931,"Bill"
1932,"Rick"
1933,"Pete"
1934,"Ziggy"
1945,"Joe"
1947,"Ty"
1959,"Itchy"
1964,"Kate"
1966,"Marge"
1968,"Bill"
1972,"Chappy"
1979,"General Joe"
1982,"Kurt"
2008,"Bill"
2009,"Tiny"
2011,"Gina"
2024,"Jim"
2047,"Pop"
2050,"Ma"
2060,"Mac"
2066,"Lem"
2075,"Doc"
2078,"Doug"
2096,"Jackie"
2099,"Tony"
2119,"P"
2133,"freefallpaul"
2140,"QuiQue"
2147,"Rick"
2149,"Will"
2161,"Joe"
2163,"Bill"
2172,"Mack"
2173,"MAGIC"
2184,"Hitch Doc"
2190,"John"
2196,"Solly"
2197,"Dave"
2212,"Dusty"
2216,"Ed"
2221,"Brody"
2233,"Steve"
