"memberID","teamstart1","teamend1","teamstart2","teamend2","hgk"
1001,2004,"","","",""
1002,1990,1993,"","",""
1003,2008,2009,"","",""
1004,2006,"","","",""
1005,1980,"","","",""
1006,2000,2001,"","",""
1007,1967,1969,"","",""
1008,1992,1994,"","",""
1009,1998,2000,"","",""
1010,1967,"","","",""
1011,1973,"","","",""
1012,1984,1989,"","",""
1013,1993,1996,"","",""
1014,1981,1983,"","",""
1015,1963,"","","",""
1016,1980,1982,"","",""
1017,1998,2007,"","",""
1018,1984,1989,"","",""
1019,1965,1966,"","",""
1020,1979,1980,"","",""
1021,2004,2006,"","",""
1022,1968,1970,"","",""
1023,1995,"","","",""
1024,1968,"","","",""
1025,1980,1985,"","",""
1026,1989,"","","",""
1027,1974,"","","",""
1028,1973,1981,"","",""
1029,1992,1995,"","",""
1030,1993,1998,"","",""
1031,2008,"","","",""
1032,1986,"","","",""
1033,1993,"","","",""
1034,1997,2000,"","",""
1035,1963,1968,"","",""
1036,1976,1978,"","",""
1037,1993,1995,"","",""
1038,1977,1978,"","",""
1039,1976,1982,1988,1990,""
1040,1968,1973,"","",""
1041,1961,1962,"","",""
1042,2000,2009,"","",""
1043,1969,"","","",""
1044,1984,1989,"","",""
1045,1994,1999,"","",""
1046,1974,1976,"","",""
1047,1972,1974,"","",""
1048,2008,2010,"","",""
1049,2006,"","","",""
1050,1964,"","","",""
1051,1974,1980,"","",""
1052,1989,1993,"","",""
1053,1988,1993,1998,1999,""
1054,1995,1999,"","",""
1055,2006,2009,"","",""
1056,1980,1987,"","",""
1057,1967,1987,"","",""
1058,"","","","",""
1059,1992,1999,2002,2009,""
1060,1987,1996,"","",""
1061,1980,1987,"","",""
1062,2005,"","","",""
1063,1993,1995,"","",""
1064,1965,1966,1973,1977,""
1065,1986,1989,"","",""
1066,2008,"","","",""
1067,1981,1984,"","",""
1068,2005,2010,"","",""
1069,1979,1982,"","",""
1070,1960,1965,"","",""
1071,1961,"","","",""
1072,2007,2015,"","",""
1073,1993,1996,"","",""
1074,1968,"","","",""
1075,1973,1976,"","",""
1076,1991,1994,"","",""
1077,1992,1995,"","",""
1078,1984,1993,"","",""
1079,1997,1999,"","",""
1080,1979,1980,"","",""
1081,1994,"","","",""
1082,1968,"","","",""
1083,1989,1991,"","",""
1084,1977,1986,"","",""
1085,1982,1984,"","",""
1086,1985,1990,1994,2001,""
1087,1965,1966,"","",""
1088,1959,1961,"","",""
1089,1985,1991,1998,2003,""
1090,1967,"","","",""
1091,1989,2005,"","",""
1092,1980,"","","",""
1093,2009,"","","",2009
1094,1989,1992,"","",""
1095,1970,"","","",""
1096,1990,"","","",""
1097,1959,1965,1969,1970,""
1098,1970,1973,"","",""
1099,1976,1979,"","",""
1100,1966,1973,"","",""
1101,1979,1982,"","",""
1102,1966,1967,"","",""
1103,1964,1966,"","",""
1104,1966,1967,"","",""
1105,1987,1968,"","",""
1106,1959,1961,1961,1963,""
1107,1996,"","","",""
1108,1989,1992,"","",""
1109,1996,1999,"","",""
1110,1997,1998,"","",""
1111,1968,1969,"","",""
1112,1979,1982,2000,"",""
1113,1990,"","","",""
1114,2007,"","","",""
1115,1992,1998,"","",""
1116,1992,1996,"","",""
1117,2000,"","","",""
1118,1998,2003,"","",""
1119,1980,1985,"","",""
